Player,Squad,Born,MP,Starts,Min,Gls,Ast,YellowC,RedC,PrgC,PrgP,PrgR,Season,Competition
tammy abraham,Roma,1997,8,2,242,1,0,1,0,6,4,15,2023-2024,serie-a
francesco acerbi,Inter,1988,29,26,2388,3,1,1,0,21,87,24,2023-2024,serie-a
yacine adli,Milan,2000,24,17,1407,1,2,3,0,30,125,26,2023-2024,serie-a
michel aebischer,Bologna,1997,36,26,2230,0,1,8,0,26,125,55,2023-2024,serie-a
lucien agoume,Inter,2002,1,0,5,0,0,0,0,0,0,0,2023-2024,serie-a
marley ake,Udinese,2001,1,0,10,0,0,0,0,0,0,0,2023-2024,serie-a
ebenezer akinsanmiro,Inter,2004,1,0,15,0,0,0,0,0,2,0,2023-2024,serie-a
jeandaniel akpaakpro,Monza,1992,19,8,705,0,0,5,0,11,10,12,2023-2024,serie-a
david akpan ankeye,Genoa,2002,6,0,57,0,0,0,0,3,1,2,2023-2024,serie-a
luis alberto,Lazio,1992,33,29,2311,5,7,7,0,83,212,124,2023-2024,serie-a
carlos alcaraz,Juventus,2002,10,3,380,0,1,0,0,6,27,9,2023-2024,serie-a
pontus almqvist,Lecce,1999,30,25,2107,2,1,5,0,72,32,137,2023-2024,serie-a
lorenzo amatucci,Fiorentina,2004,2,0,22,0,0,0,0,1,2,1,2023-2024,serie-a
bruno amione,Hellas Verona,2002,10,7,579,0,0,2,0,2,17,2,2023-2024,serie-a
felipe anderson,Lazio,1993,38,33,2770,5,6,3,0,108,126,226,2023-2024,serie-a
angelino,Roma,1997,16,14,1141,0,1,2,0,12,40,55,2023-2024,serie-a
houssem aouar,Roma,1998,16,9,756,4,0,3,0,17,26,60,2023-2024,serie-a
simone aresti,Cagliari,1986,1,0,1,0,0,0,0,0,0,0,2023-2024,serie-a
marko arnautovic,Inter,1989,27,5,801,5,3,0,0,12,20,77,2023-2024,serie-a
kristjan asllani,Inter,2002,23,6,787,1,2,1,0,5,32,8,2023-2024,serie-a
emil audero,Inter,1997,4,4,337,0,0,0,0,0,0,0,2023-2024,serie-a
tommaso augello,Cagliari,1994,32,28,2418,1,1,5,0,62,96,99,2023-2024,serie-a
carlos augusto,Inter,1999,37,14,1725,0,3,1,0,42,54,88,2023-2024,serie-a
yann aurel bisseck,Inter,2000,16,9,904,2,0,0,0,24,30,20,2023-2024,serie-a
sardar azmoun,Roma,1995,23,3,585,3,0,4,0,5,14,35,2023-2024,serie-a
paulo azzi,Cagliari,1994,25,9,950,0,0,1,0,47,35,42,2023-2024,serie-a
oussama el azzouzi,Bologna,2001,18,5,547,2,2,4,0,4,19,8,2023-2024,serie-a
milan badelj,Genoa,1989,33,32,2535,1,3,6,0,18,151,36,2023-2024,serie-a
jaime baez,Frosinone,1995,11,6,500,1,0,1,0,12,29,39,2023-2024,serie-a
nicola bagnolini,Bologna,2004,1,0,5,0,0,0,0,0,0,0,2023-2024,serie-a
nedim bajrami,Sassuolo,1999,28,15,1310,2,2,0,0,51,49,70,2023-2024,serie-a
mitchel bakker,Atalanta,2000,14,3,382,1,0,1,0,12,10,20,2023-2024,serie-a
tommaso baldanzi,Empoli,2003,14,8,745,2,0,1,0,20,30,40,2023-2024,serie-a
tommaso baldanzi,Roma,2003,13,6,518,0,0,2,0,18,14,54,2023-2024,serie-a
lameck banda,Lecce,2001,21,17,1350,2,4,5,1,71,22,136,2023-2024,serie-a
daniel bandeira,Hellas Verona,2000,14,3,446,0,0,2,0,9,34,8,2023-2024,serie-a
mattia bani,Genoa,1993,27,27,2306,2,0,9,0,5,37,4,2023-2024,serie-a
antonin barak,Fiorentina,1994,21,8,808,2,3,2,0,17,33,64,2023-2024,serie-a
nicolo barella,Inter,1997,37,34,2846,2,3,7,0,68,278,144,2023-2024,serie-a
enzo barrenechea,Frosinone,2001,36,32,2811,0,1,10,0,10,155,24,2023-2024,serie-a
davide bartesaghi,Milan,2005,6,0,79,0,0,0,0,1,3,4,2023-2024,serie-a
federico baschirotto,Lecce,1996,37,37,3294,0,1,3,1,28,96,3,2023-2024,serie-a
toma basic,Salernitana,1996,15,14,1162,0,0,5,0,11,53,16,2023-2024,serie-a
alessandro bastoni,Inter,1999,28,28,2268,1,3,5,0,63,142,77,2023-2024,serie-a
simone bastoni,Empoli,1996,16,9,745,1,0,3,0,12,31,26,2023-2024,serie-a
reda belahyane,Hellas Verona,2004,2,1,90,0,0,0,0,1,4,2,2023-2024,serie-a
raoul bellanova,Torino,2000,37,36,3046,1,7,5,0,141,98,202,2023-2024,serie-a
andrea belotti,Fiorentina,1993,15,11,949,3,0,0,0,10,15,60,2023-2024,serie-a
andrea belotti,Roma,1993,14,6,679,3,2,1,0,15,8,49,2023-2024,serie-a
lucas beltran,Fiorentina,2001,32,21,1692,6,2,6,0,12,49,113,2023-2024,serie-a
ismael bennacer,Milan,1997,20,13,1151,2,2,2,0,24,68,33,2023-2024,serie-a
