Player,Squad,Liga,Season,Sh,SoT,G/Sh,xG,npxG,npxG/Sh,G-xG
max aarons,Valencia,La-Liga,2024-2025,0,0,,0.0,0.0,,0.0
rodrigo abajas,Valencia,La-Liga,2024-2025,1,0,0.0,0.1,0.1,0.07,-0.1
abel,Osasuna,La-Liga,2024-2025,12,4,0.17,0.5,0.5,0.04,1.5
nabil aberdin,Getafe,La-Liga,2024-2025,2,0,0.0,0.0,0.0,0.02,0.0
abdel abqar,Alavés,La-Liga,2024-2025,12,1,0.0,0.9,0.9,0.08,-0.9
akor adams,Sevilla,La-Liga,2024-2025,2,1,0.0,0.4,0.4,0.22,-0.4
adrian,Betis,La-Liga,2024-2025,0,0,,0.0,0.0,,0.0
julen agirrezabala,Athletic Club,La-Liga,2024-2025,0,0,,0.0,0.0,,0.0
lucien agoume,Sevilla,La-Liga,2024-2025,10,2,0.1,0.9,0.9,0.09,0.1
alvaro aguado,Espanyol,La-Liga,2024-2025,10,1,0.0,0.6,0.6,0.06,-0.6
lorenzo aguado,Real Madrid,La-Liga,2024-2025,0,0,,0.0,0.0,,0.0
nayef aguerd,Real Sociedad,La-Liga,2024-2025,15,5,0.0,2.4,2.4,0.16,-2.4
joseph aidoo,Valladolid,La-Liga,2024-2025,1,0,0.0,0.0,0.0,0.04,0.0
joseph aidoo,Celta Vigo,La-Liga,2024-2025,0,0,,0.0,0.0,,0.0
ilias akhomach,Villarreal,La-Liga,2024-2025,17,6,0.06,0.6,0.6,0.03,0.4
david alaba,Real Madrid,La-Liga,2024-2025,0,0,,0.0,0.0,,0.0
ibrahim alani,Valladolid,La-Liga,2024-2025,1,0,0.0,0.0,0.0,0.02,0.0
raul albiol,Villarreal,La-Liga,2024-2025,2,0,0.0,0.1,0.1,0.05,-0.1
omar alderete,Getafe,La-Liga,2024-2025,38,10,0.03,1.7,1.7,0.04,-0.7
carles alena,Getafe,La-Liga,2024-2025,5,1,0.0,0.9,0.9,0.18,-0.9
carles alena,Alavés,La-Liga,2024-2025,15,4,0.0,0.7,0.7,0.05,-0.7
alfon,Celta Vigo,La-Liga,2024-2025,46,19,0.11,4.6,4.6,0.1,0.4
tadeo allende,Celta Vigo,La-Liga,2024-2025,0,0,,0.0,0.0,,0.0
